Date,'Daily Deaths',predictedDaily,Daily
2020-01-29,0,5.901961,0
2020-01-30,0,5.901961,1
2020-01-31,0,5.901961,0
2020-02-01,0,5.901961,1
2020-02-02,0,5.901961,1
2020-02-03,0,5.901961,0
2020-02-04,0,5.901961,0
2020-02-05,0,5.901961,0
2020-02-06,0,5.901961,0
2020-02-07,0,5.901961,0
2020-02-08,0,5.901961,0
2020-02-09,0,5.901961,0
2020-02-10,0,5.901961,0
2020-02-11,0,5.901961,0
2020-02-12,0,5.901961,0
2020-02-13,0,5.901961,0
2020-02-14,0,5.901961,0
2020-02-15,0,5.901961,0
2020-02-16,0,5.901961,0
2020-02-17,0,5.901961,0
2020-02-18,0,5.901961,0
2020-02-19,0,5.901961,0
2020-02-20,0,5.901961,0
2020-02-21,0,5.901961,0
2020-02-22,0,5.901961,0
2020-02-23,0,5.901961,0
2020-02-24,0,5.901961,0
2020-02-25,0,5.901961,0
2020-02-26,0,5.901961,0
2020-02-27,0,5.901961,0
2020-02-28,0,5.901961,0
2020-02-29,0,5.901961,0
2020-03-01,0,5.901961,0
2020-03-02,0,5.901961,2
2020-03-03,0,5.901961,1
2020-03-04,0,5.901961,22
2020-03-05,0,5.901961,2
2020-03-06,0,5.901961,1
2020-03-07,0,5.901961,3
2020-03-08,0,5.901961,5
2020-03-09,0,5.901961,7
2020-03-10,0,5.901961,12
2020-03-11,0,5.901961,2
2020-03-12,0,5.901961,14
2020-03-13,1,28.4,7
2020-03-14,1,28.4,3
2020-03-15,0,5.901961,26
2020-03-16,0,5.901961,4
2020-03-17,1,28.4,23
2020-03-18,0,5.901961,14
2020-03-19,1,28.4,22
2020-03-20,0,5.901961,50
2020-03-21,0,5.901961,60
2020-03-22,3,125.166667,77
2020-03-23,0,5.901961,73
2020-03-24,2,100.333333,86
2020-03-25,1,28.4,87
2020-03-26,5,153.666667,88
2020-03-27,2,100.333333,30
2020-03-28,2,100.333333,185
2020-03-29,8,366,115
2020-03-30,4,153.666667,227
2020-03-31,4,153.666667,146
2020-04-01,6,253,437
2020-04-02,12,422.666667,235
2020-04-03,9,366,478
2020-04-04,13,422.666667,525
2020-04-05,8,366,505
2020-04-06,28,997.666667,704
2020-04-07,13,422.666667,508
2020-04-08,25,671.666667,485
2020-04-09,20,527.25,591
2020-04-10,37,1093.25,896
2020-04-11,36,1093.25,768
2020-04-12,31,1106,918
2020-04-13,51,1355,905
2020-04-14,29,997.666667,1463
2020-04-15,39,1326.5,1118
2020-04-16,28,997.666667,826
2020-04-17,32,1106,1076
2020-04-18,36,1093.25,957
2020-04-19,31,1106,1324
2020-04-20,40,1326.5,1540
2020-04-21,44,1527,1329
2020-04-22,49,1444.25,1486
2020-04-23,34,984.666667,1229
2020-04-24,37,1093.25,1752
2020-04-25,56,1393.75,1441
