@relation covid_19_india_countrywise-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R2-3_predicted

@attribute Date date yyyy-MM-dd
@attribute 'Daily Deaths' numeric
@attribute predictedDaily numeric
@attribute Daily numeric

@data
2021-05-17,4329,348421,263533
2021-05-18,4529,348421,267334
2021-05-19,3874,329942,276110
2021-05-20,4209,348421,259551
2021-05-21,4194,401078,257299
2021-05-22,3741,366161,240842
2021-05-23,4454,348421,222315
2021-05-24,3511,401993,196427
2021-05-25,4157,401078,208921
2021-05-26,3847,329942,211298
2021-05-27,3660,379257,186364
2021-05-28,3617,379257,173790
2021-05-29,3460,357229,165553
2021-05-30,3128,360960,152734
2021-05-31,2795,352991,127510
2021-06-01,3207,360960,132788
2021-06-02,2887,352991,134154
2021-06-03,2713,349691,132364
2021-06-04,3380,368147,120529
2021-06-05,2677,346786,114460
2021-06-06,2427,332730,100636
