%%Covid 19 instances 2020-2021

@relation covid_19_india_countrywiseter
@attribute Date date 'yyyy-MM-dd'
@attribute Cured numeric
@attribute Deaths numeric
@attribute Confirmed numeric
@attribute Active numeric
@attribute Daily numeric

@data
2020-01-29,0,0,0,0,0
2020-01-30,0,0,1,1,1
2020-01-31,0,0,1,1,0
2020-02-01,0,0,2,2,1
2020-02-02,0,0,3,3,1
2020-02-03,0,0,3,3,0
2020-02-04,0,0,3,3,0
2020-02-05,0,0,3,3,0
2020-02-06,0,0,3,3,0
2020-02-07,0,0,3,3,0
2020-02-08,0,0,3,3,0
2020-02-09,0,0,3,3,0
2020-02-10,0,0,3,3,0
2020-02-11,0,0,3,3,0
2020-02-12,0,0,3,3,0
2020-02-13,0,0,3,3,0
2020-02-14,0,0,3,3,0
2020-02-15,0,0,3,3,0
2020-02-16,0,0,3,3,0
2020-02-17,0,0,3,3,0
2020-02-18,0,0,3,3,0
2020-02-19,0,0,3,3,0
2020-02-20,0,0,3,3,0
2020-02-21,0,0,3,3,0
2020-02-22,0,0,3,3,0
2020-02-23,0,0,3,3,0
2020-02-24,0,0,3,3,0
2020-02-25,0,0,3,3,0
2020-02-26,0,0,3,3,0
2020-02-27,0,0,3,3,0
2020-02-28,0,0,3,3,0
2020-02-29,0,0,3,3,0
2020-03-01,0,0,3,3,0
2020-03-02,0,0,5,5,2
2020-03-03,3,0,6,3,1
2020-03-04,3,0,28,25,22
2020-03-05,3,0,30,27,2
2020-03-06,3,0,31,28,1
2020-03-07,3,0,34,31,3
2020-03-08,3,0,39,36,5
2020-03-09,3,0,46,43,7
2020-03-10,3,0,58,55,12
2020-03-11,3,0,60,57,2
2020-03-12,3,0,74,71,14
2020-03-13,3,1,81,77,7
2020-03-14,10,2,84,72,3
2020-03-15,13,2,110,95,26
2020-03-16,13,2,114,99,4
2020-03-17,14,3,137,120,23
2020-03-18,14,3,151,134,14
2020-03-19,20,4,173,149,22
2020-03-20,23,4,223,196,50
2020-03-21,23,4,283,256,60
2020-03-22,24,7,360,329,77
2020-03-23,24,7,433,402,73
2020-03-24,40,9,519,470,86
2020-03-25,43,10,606,553,87
2020-03-26,45,15,694,634,88
2020-03-27,67,17,724,640,30
2020-03-28,80,19,909,810,185
2020-03-29,96,27,1024,901,115
2020-03-30,102,31,1251,1118,227
2020-03-31,124,35,1397,1238,146
2020-04-01,144,41,1834,1649,437
2020-04-02,156,53,2069,1860,235
2020-04-03,163,62,2547,2322,478
2020-04-04,213,75,3072,2784,525
2020-04-05,275,83,3577,3219,505
2020-04-06,319,111,4281,3851,704
2020-04-07,353,124,4789,4312,508
